n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,satz_a,bestanden,studie,zelle,spender,achse,e2,laesion,n_modulgene,herkunft,n_proben
12,62,-0.5394267391347175,-0.0003358879202697301,0.4246642542489902,-1.2694519160031932,1.0,1.1887240239769028,ok,CHONDROGEN,False,GSE218101,GSE218101_Line1_chondr,GSE218101_Line1,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",169,Punkt der achtzehn,8
12,62,0.48431126402074465,0.0004695145830867556,0.4687912157251294,1.0321049823624537,0.3018849057547123,1.313084918613449,ok,CHONDROGEN,False,GSE218101,GSE218101_Line2_chondr,GSE218101_Line2,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",169,Punkt der achtzehn,8
12,62,0.15996044963406786,0.0012536180740346109,0.43374791848103,0.3658964684276042,0.72056397180141,1.2157477898209186,ok,CHONDROGEN,False,GSE218101,GSE218101_Line3_chondr,GSE218101_Line3,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",169,Punkt der achtzehn,8
12,62,1.2635103718609575,-0.0030702980414009724,0.5424741061913612,2.3348223545541256,0.01559922003899805,1.51585719929441,ok,CHONDROGEN,True,GSE218101,GSE218101_Line4_chondr,GSE218101_Line4,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",169,Punkt der achtzehn,8
12,53,0.6064551173384731,-0.004159077704077771,0.3211762948824648,1.9011807682319972,0.057397130143492826,0.8951345479668236,ok,CHONDROGEN,False,GSE221128,GSE221128_FOP_chondr,GSE221128_FOP,chondrogen,True,"ACVR1 R206H, isogen korrigiert (resFOP)",169,Punkt der achtzehn,11
13,46,-0.4083492669340293,-0.0003746994475649115,0.3958964663269961,-1.0305082317898038,1.0,1.1081354062680242,ok,OSTEOGEN,False,GSE245585,GSE245585_WT1_osteog,GSE245585_WT1,osteogen,True,RB1 +/- (Retinoblastom-Patientenlinie),166,Punkt der achtzehn,16
12,59,1.4122707652273825,-0.000594027418845719,0.3959824005099255,3.5679989586072876,0.0002999850007499625,1.1081566940089458,ok,CHONDROGEN,True,GSE247491,SERPINA3_D1_chondr,SERPINA3_D1,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
12,59,2.2343480715112216,-0.0027585091195637176,0.399143502909377,5.604767619476212,9.99950002499875e-05,1.1148432990266919,ok,CHONDROGEN,True,GSE247491,SERPINA3_D2_chondr,SERPINA3_D2,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
12,59,1.7112416276831726,0.0017819349889458365,0.40775713587091406,4.1923477048244715,9.99950002499875e-05,1.1435019154275052,ok,CHONDROGEN,True,GSE247491,SERPINA3_D3_chondr,SERPINA3_D3,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
17,54,0.786565267170277,-0.004134564513943958,0.37364186609994837,2.1161970951957256,0.03489825508724564,1.0420626605659116,ok,OSTEOGEN,True,GSE247528,SERPINA3_D1_osteog,SERPINA3_D1,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
17,54,0.6833839755092258,0.001487551988871905,0.33944042923825807,2.008883930092255,0.040197990100494976,0.9519207538559945,ok,OSTEOGEN,True,GSE247528,SERPINA3_D2_osteog,SERPINA3_D2,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
17,54,-0.12469933373663733,-0.0015516921009051442,0.3302656855787734,-0.3728744674758517,1.0,0.9231922275196603,ok,OSTEOGEN,False,GSE247528,SERPINA3_D3_osteog,SERPINA3_D3,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)",173,"Abb. S3C, studienweise",6
6,39,1.764664226677658,-0.006335605396292575,0.6621950071361187,2.6744385158281774,0.0050997450127493625,1.8478104145848395,ok,CHONDROGEN,True,LAMA5_USC,LAMA5_USC_chondr,LAMA5_USC,chondrogen,False,LAMA5-KO in gesunder Linie (Engineering),163,zwei Punkte der achtzehn,12
12,33,-0.09970983672389189,-0.0014153078003395943,0.47602311285517834,-0.2064910847164194,1.0,1.3314494081941597,ok,OSTEOGEN,False,LAMA5_USC,LAMA5_USC_osteog,LAMA5_USC,osteogen,False,LAMA5-KO in gesunder Linie (Engineering),163,zwei Punkte der achtzehn,12
